source_name	source SMILES	distance	name	SMILES
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	1.000	RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.832	SONNWYBIRXJNDC-PNNDDYQLNA-O	[C[NH2+]C[C@H](O)c1cccc(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.825	NHTGHBARYWONDQ-OGJHPINVNA-N	[C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-]]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.818	VYFYYTLLBUKUHU-JJYWNFEWNA-O	[[NH3+]CCc1ccc(O)c(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.812	SFLSHLFXELFNJZ-HXOWBQAONA-O	[[NH3+]CC(O)c1ccc(O)c(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.809	KWTWDQCKEHXFFR-NMFMLDCLNA-O	[CC[C@@H](c1cccc(O)c1)[C@@H](C)C[NH+](C)C]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.808	VYQNWZOUAUKGHI-UHFFFAOYNA-N	[Oc1ccc(OCc2ccccc2)cc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.801	NDAUXUAQIAJITI-RMWLFLDONA-O	[CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.797	DLNKOYKMWOXYQA-PVWDQBRUNA-O	[C[C@@H]([NH3+])[C@@H](O)c1ccccc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.797	DLNKOYKMWOXYQA-NLNZPEGFNA-O	[C[C@H]([NH3+])[C@@H](O)c1ccccc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	1.000	RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.832	SONNWYBIRXJNDC-PNNDDYQLNA-O	[C[NH2+]C[C@H](O)c1cccc(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.825	NHTGHBARYWONDQ-OGJHPINVNA-N	[C[C@]([NH3+])(Cc1ccc(O)cc1)C(=O)[O-]]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.818	VYFYYTLLBUKUHU-JJYWNFEWNA-O	[[NH3+]CCc1ccc(O)c(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.812	SFLSHLFXELFNJZ-HXOWBQAONA-O	[[NH3+]CC(O)c1ccc(O)c(O)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.809	KWTWDQCKEHXFFR-NMFMLDCLNA-O	[CC[C@@H](c1cccc(O)c1)[C@@H](C)C[NH+](C)C]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.808	VYQNWZOUAUKGHI-UHFFFAOYNA-N	[Oc1ccc(OCc2ccccc2)cc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.801	NDAUXUAQIAJITI-RMWLFLDONA-O	[CC(C)(C)[NH2+]CC(O)c1ccc(O)c(CO)c1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.797	DLNKOYKMWOXYQA-PVWDQBRUNA-O	[C[C@@H]([NH3+])[C@@H](O)c1ccccc1]
RZVAJINKPMORJF-BGGKNDAXNA-N	[CC(=O)Nc1ccc(O)cc1]	0.797	DLNKOYKMWOXYQA-NLNZPEGFNA-O	[C[C@H]([NH3+])[C@@H](O)c1ccccc1]
